序号,代码,名称,行业,最新价,涨跌幅pct,盈利阶段,近两年财务摘要,最新年报年份,营业收入最新,营收同比pct,归母净利最新,归母净利上年,净利同比pct,上年报年份,上年营业收入,主营产品,合作方,业务简介,总股本亿股,总市值亿元,流通市值亿元,股东户数,户数变动,户数变动pct,股东日期,前十大持股pct,持股集中度,换手率pct,量比,近5日均量,前5日均量,五日量能放大,近10日均量,前10日均量,十日量能放大,年内最低,年内最高,年内均价,现价比年内均价,现价比年内低点,年内价格分位pct,筛选理由
1,603400,华之杰,通用设备,46.5,-1.36,盈利阶段,2025年营业收入14.02亿元，同比增长13.97%；归母净利润1.24亿元，上年为1.54亿元（同比-18.99%）,2025,14.02亿元,13.97,1.24亿元,1.54亿元,-18.99,2024,12.30亿元,电动工具零部件(91.9%)；消费类电子零部件(6.0%)；其他(补充)(2.1%),百得集团、TTI集团、博世集团、牧田集团、安德烈斯蒂尔、东成集团、宝时得集团、大叶股份、中坚科技、格力博、佳世达集团、台达集团、冠捷科技,"苏州华之杰电讯股份有限公司成立于2001年,总部位于苏州市,并于2025年6月登陆上交所主板,股票代码603400。公司定位于智能控制行业,致力于以锂电池电源管理、智能控制、无刷电机驱动和控制等技术为核心,主要为下游应用领域提供电驱、电控、电池管理等方面的系统解决方案。公司主要产品包括智能开关、智能控制器、无刷电机、精密结构件等关键功能零部件。得益于历史上在",1.3,60.37,16.85,7617,-4851,-38.91,2026-03-31,80,非常集中,25.7,1.63,7178136,1819202,3.95,4498669,1119207,4.02,30.92,90,60.92,0.76,1.5,26.37,5日量能放大3.95倍；10日量能放大4.02倍；换手25.70%；低于/贴近年内均价；年内分位26%
2,002879,长缆科技,电网设备,16.81,-6.25,盈利阶段,2025年营业收入14.40亿元，同比增长15.97%；归母净利润1.34亿元，上年为7468.20万元（同比79.11%）,2025,14.40亿元,15.97,1.34亿元,7468.20万元,79.11,2024,12.42亿元,绝缘油产品(34.4%)；其他及辅助类(21.2%)；1kV至35kV产品(17.3%)；220kV产品(12.4%)；66kV至110kV产品(11.1%),,"长缆科技集团股份有限公司,1958年始创,2017年深交所上市(股票简称长缆科技,代码002879)。长缆科技拥有多元化产业发展格局,覆盖6大产业板块:高压超高压电缆附件、中低压电缆附件、电气设备、电力施工材料、智能在线监测、机电设施等,产品广泛应用于电网、新能源、轨道交通、冶金石化、核电等领域。长缆科技多项技术填补国内空白,拥有全球领先的生产基地与研发检测",1.93,32.46,23.05,21530,-2786,-11.46,2026-03-31,50.58,较集中,24.93,1.12,38204270,10201888,3.74,24203079,5046826,4.8,12.13,24.91,18.14,0.93,1.39,36.62,5日量能放大3.74倍；10日量能放大4.80倍；换手24.93%；低于/贴近年内均价
3,603683,晶华新材,化学制品,13.44,-5.29,盈利阶段,2025年营业收入21.70亿元，同比增长15.14%；归母净利润8932.49万元，上年为6703.39万元（同比33.25%）,2025,21.70亿元,15.14,8932.49万元,6703.39万元,33.25,2024,18.85亿元,工业胶粘材料(48.4%)；电子级胶粘材料(30.8%)；特种纸(11.6%)；光学胶膜材料(6.5%)；化工新材料(1.5%),上海晶华胶粘新材料股份有限公司、浙江晶鑫特种纸业有限公司、香港晶华投资有限公司、香港锦华控股有限公司,"上海晶华胶粘新材料股份有限公司,成立于2006年,于2017年10月在上海证券交易所挂牌上市(股票简称:晶华新材,股票代码:603683),现已发展成为集研发、生产、销售于一体的专业生产各类胶粘新材料的高新技术企业。公司总部位于上海,在江苏、安徽、浙江、四川、香港等地均设有分公司或子公司,包括江苏晶华新材料科技有限公司、安徽晶华新材料科技有限公司、浙江晶鑫特",2.91,39.14,38.74,14732,239,1.65,2026-03-31,44.41,较集中,10.27,0.7,53379429,12380088,4.31,32879759,14348245,2.29,13.93,36.61,27.26,0.49,0.96,-2.16,5日量能放大4.31倍；10日量能放大2.29倍；换手10.27%；低于/贴近年内均价；接近年内低点；年内分位-2%
4,603988,中电电机,电机Ⅱ,19.52,4.83,扭亏阶段,2025年营业收入6.59亿元，同比增长-1.17%；归母净利润3064.53万元，上年为-1032.69万元（同比396.75%）,2025,6.59亿元,-1.17,3064.53万元,-1032.69万元,396.75,2024,6.66亿元,交流电机(49.7%)；发电机(23.3%)；直流电机(15.6%)；其他(11.5%),基金等单位共同出资组建的宁波君拓企业管理有限公司,"中电电机股份有限公司创立于2003年4月,国家高新技术企业,于2014年11月在上海证券交易所挂牌上市,股票代码:603988,是一家由国资控股的混合所有制上市公司。目前,中电电机控股股东是由中国五矿集团、中国国有企业结构调整基金、建信(北京)投资基金、国新国同(浙江)投资基金等单位共同出资组建的宁波君拓企业管理有限公司。中电电机坐落于美丽的太湖之滨——无锡",2.35,45.91,45.91,19481,-1110,-5.39,2026-03-31,60.25,较集中,9.43,1.5,18610132,7192003,2.59,12901068,5247500,2.46,13.13,39.97,24.78,0.79,1.49,23.81,5日量能放大2.59倍；10日量能放大2.46倍；换手9.43%；低于/贴近年内均价；年内分位24%
5,001388,信通电子,电网设备,19.68,-4.88,盈利阶段,2025年营业收入10.52亿元，同比增长4.68%；归母净利润1.37亿元，上年为1.43亿元（同比-4.02%）,2025,10.52亿元,4.68,1.37亿元,1.43亿元,-4.02,2024,10.05亿元,输电线路智能巡检系统(66.4%)；变电站智能辅控系统(15.9%)；其他产品(9.3%)；移动智能终端(6.8%)；配电智能化运维方案(1.4%),,"山东信通电子股份有限公司成立于1996年,深耕通信、电力等行业需求,重点研究物联网智能终端、云平台开发及运维技术。以工业物联网智能终端为基础,丰富云、边、端产品形态,持续为电力、通信等行业提供行业物联网解决方案;进一步提升产品制造能力和客户服务能力,由行业服务向行业赋能发展。未来,信通电子愿与社会各界朋友一道,求真务实,共享共担,为信息产业的快速发展做出新的",2.34,46.01,24.62,17071,-5569,-24.6,2026-03-31,65.33,较集中,5.69,0.67,13349135,11615175,1.15,12482155,2969959,4.2,19.41,53.6,41.48,0.47,1.01,0.79,10日量能放大4.20倍；换手5.69%；低于/贴近年内均价；接近年内低点；年内分位1%
6,605108,同庆楼,酒店餐饮,12.73,2.09,盈利阶段,2025年营业收入26.81亿元，同比增长6.17%；归母净利润1.02亿元，上年为1.00亿元（同比2.04%）,2025,26.81亿元,6.17,1.02亿元,1.00亿元,2.04,2024,25.25亿元,,,"同庆楼餐饮股份有限公司品牌始创于1925年,同庆楼餐饮股份有限公司成立于2005年,主要从事餐饮服务,是一家A股主板上市公司,股票简称:同庆楼,股票代码:605108。同庆楼是国家正式认定的中华老字号餐饮企业,至今已有近百年的历史。解放前同庆楼遍布北京、南京、武汉、芜湖等多个城市,接待过众多历史名人,留下很多传奇佳话。作为中国历史餐饮名店,1999年国内贸易",2.6,33.1,33.1,18483,-2210,-10.68,2026-03-31,72.49,较集中,3.26,1.69,6320657,2990586,2.11,4655621,2641926,1.76,11.01,25,17.69,0.72,1.16,12.29,5日量能放大2.11倍；10日量能放大1.76倍；换手3.26%；低于/贴近年内均价；接近年内低点；年内分位12%
7,002189,中光学,军工电子Ⅱ,18.35,-2.03,减亏阶段,2025年营业收入15.02亿元，同比增长-15.85%；归母净利润-2.25亿元，上年为-3.70亿元（同比39.07%）,2025,15.02亿元,-15.85,-2.25亿元,-3.70亿元,39.07,2024,17.85亿元,精密光学元组件(43.2%)；光电防务与要地监控(28.1%)；投影机整机及配件(16.4%)；机械产品及其他(12.3%),隶属于中国兵器装备集团有限公司、河南省数字光电产业研究院和中国兵器装备集团,"中光学集团股份有限公司(股票代码002189),隶属于中国兵器装备集团有限公司,成立于1968年,是国家高新技术企业,拥有多家全资控股及参股公司,总部位于诸葛亮躬耕地——河南省南阳市。产品主要包括光学元组件、镜头、投影机、安防监控系统、光电防务产品等,被誉为全球投影系统用零部件的核心供应商、中国“新兴民族投影显示竞争力优势企业”和“要地监控综合解决方案优秀提",2.61,47.93,47.92,35635,-4357,-10.89,2026-03-31,51.28,较分散,1.32,0.64,6783697,2730012,2.48,4756855,3606333,1.32,15.96,30.49,22.72,0.81,1.15,16.45,5日量能放大2.48倍；低于/贴近年内均价；接近年内低点；年内分位16%
8,001358,兴欣新材,化学制品,25.6,-5.11,盈利阶段,2025年营业收入4.75亿元，同比增长1.37%；归母净利润4831.50万元，上年为8114.99万元（同比-40.46%）,2025,4.75亿元,1.37,4831.50万元,8114.99万元,-40.46,2024,4.68亿元,哌嗪系列产品(78.8%)；其他(10.8%)；酰胺系列产品(10.4%),科研院所开展研究和科技,"绍兴兴欣新材料股份有限公司成立于2002年06月27日,位于杭州湾上虞经济技术开发区拓展路2号。公司通过ISO9001、ISO14001、ISO45001体系认证;拥有先进的生产工艺技术和产品质量;公司秉承“通过持续技术创新,让客户满意,让员工受益,让股东收益”的企业使命和“打造全球最大、受行业尊重的哌嗪系列产品的生产基地”的愿景,持续与国际化工巨头战略合作",1.23,31.54,13.05,7939,537,7.25,2026-03-31,71.97,非常集中,18.58,2.99,3980542,1681717,2.37,2831129,3119382,0.91,18.9,32.87,26.99,0.95,1.35,47.96,5日量能放大2.37倍；换手18.58%；低于/贴近年内均价
9,603097,江苏华辰,电网设备,17.75,0.11,盈利阶段,2025年营业收入22.56亿元，同比增长42.73%；归母净利润7038.89万元，上年为9160.86万元（同比-23.16%）,2025,22.56亿元,42.73,7038.89万元,9160.86万元,-23.16,2024,15.81亿元,箱式变电站(52.7%)；干式变压器(22.6%)；油浸式变压器(20.6%)；电气成套设备(2.3%)；其他(补充)(1.4%),国家能源集团,"江苏华辰变压器股份有限公司(股票代码:603097)成立于2007年,并于2022年5月在上海证券交易所主板上市,是一家专注于高端输配电设备研发、制造与系统集成的高新技术企业。公司相继荣获国家绿色工厂、国家智能制造优秀场景、国家专精特新“小巨人”企业等多项国家级权威认定。作为主板上市公司,我们以更高的治理标准践行使命,致力于为全球能源转型提供安全、可靠、节能",2.3,40.81,39.88,14913,792,5.61,2026-03-31,72.21,较集中,1.72,0.73,6651283,4545104,1.46,5598194,2328425,2.4,13.18,42.61,27.29,0.65,1.35,15.53,10日量能放大2.40倍；低于/贴近年内均价；年内分位16%
10,001202,炬申股份,物流,12.18,-1.14,盈利阶段,2025年营业收入18.89亿元，同比增长81.65%；归母净利润7247.94万元，上年为8157.11万元（同比-11.15%）,2025,18.89亿元,81.65,7247.94万元,8157.11万元,-11.15,2024,10.40亿元,运输服务(83.4%)；仓储综合服务(16.2%)；其他(补充)(0.4%),中国铝业、天山铝业、东方希望、河南神火、信发集团、锦江集团、嘉能可等有色金属产业链大型生产企业、贸易商,"炬申物流集团股份有限公司成立于2011年11月,总部位于广东省佛山市南海区丹灶镇丹灶物流中心,是一家专业提供铝、铜、锌、锡、氧化铝、工业硅、不锈钢、PVC等大宗商品的综合物流服务的AAAA级物流企业。公司于2021年4月29日在深圳证券交易所上市(股票简称:炬申股份,股票代码:001202),目前在我国有色金属消费集散地、电解铝主要生产地设有全资子公司10家",1.67,20.3,14.23,16748,-856,-4.86,2026-03-31,71.92,较集中,2.19,0.49,6651313,4443524,1.5,5547419,2367551,2.34,12.18,24.38,15.96,0.76,1,0,10日量能放大2.34倍；低于/贴近年内均价；接近年内低点；年内分位0%
